Escuela_ID;Número;Escuela;Nivel;Nivel_Unificado;Gestión;Supervisión;Departamento;Localidad;zona;AMBITO;Regional
1111;4123;INTEGRACION;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;SAN CARLOS;LA CONSULTA;80%;Urbano;-
1112;4124;REYNALDO MERIN;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;SAN RAFAEL - CIUDAD;40%;Urbano;-
1115;4127;CENTRO POLIVALENTE DE ARTE;Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;SAN RAFAEL;SAN RAFAEL - CIUDAD;40%;Urbano;-
1116;4128;ADOLFO PÉREZ ESQUIVEL;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;CAPITAL;2º SECCION - RESIDENCIAL BARRIO CIVICO;10%;Urbano;-
1117;4129;ANA ENRIQUETA GUYOT DE CALZADA;Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;SAN RAFAEL;SAN RAFAEL - CIUDAD;40%;Urbano;-
1118;4130;PROF.JORGE DE LA RETA;Secundario Técnico;Secundario;Pública;05 - Secundario Técnico;SAN RAFAEL;SAN RAFAEL - CIUDAD;10%;Urbano;-
1119;4131;MAHATMA GANDHI;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;VILLA HIPODROMO;10%;Urbano;-
1120;4132;QUÍMICOS ARGENTINOS;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano;-
1121;4133;ABELARDO VAZQUEZ;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;GUAYMALLÉN;SAN JOSÉ;10%;Urbano marginal;-
1122;4134;MARÍA RAQUEL BUTERA;Secundario Orientado;Secundario;Pública;10 - Secundario Orientado;SAN MARTÍN;SAN MARTÍN;40%;Urbano;-
1123;4135;SAN MARTÍN LABRADOR;Secundario Orientado;Secundario;Pública;17 - Secundario Orientado;JUNIN;LOS BARRIALES;80%;Rural;-
1124;4136;JORGE LUIS BORGES;Secundario Orientado;Secundario;Pública;18 - Secundario Orientado;GUAYMALLÉN;SAN JOSÉ;10%;Urbano;-
1125;4137;NIEVES DEL ACONCAGUA;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;CAPITAL;5º SECCION -  RESIDENCIAL SUR;10%;Urbano;-
1126;4138;ABORIGEN AMERICANO;Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;MALARGÜE;MALARGÜE;80%;Urbano marginal;-
1127;4139;ERNESTO SABATO;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;GODOY CRUZ;10%;Urbano;-
1128;4140;ARMANDO TEJADA GÓMEZ;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;EL RESGUARDO;80%;Urbano marginal;-
1129;4141;ANTONIO GARBIN;Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;SAN RAFAEL;SAN RAFAEL - CIUDAD;40%;Urbano marginal;-
1131;4143;EL ALGARROBAL;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAS HERAS;EL ALGARROBAL;80%;Urbano;-
1132;4144;12 DE AGOSTO;Secundario Orientado;Secundario;Pública;14 - Secundario Orientado;GRAL. ALVEAR;GENERAL ALVEAR;60%;Urbano;-
1133;4145;ARMANDO SERGIO FIGUEROA;Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;SAN MARTÍN;TRES PORTEÑAS;110%;Rural;-
1134;4146;AMERICO DANGELO RECUERO;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;GUAYMALLÉN;JESÚS NAZARENO;10%;Urbano marginal;-
1135;4147;CELADOR PABLO DELPIR;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;PANQUEHUA;60%;Urbano;-
1136;4148;MANUEL BELGRANO;Secundario Orientado;Secundario;Pública;18 - Secundario Orientado;GODOY CRUZ;GODOY CRUZ;10%;Urbano;-
1137;4149;CARLOS VARAS GAZARI;Secundario Orientado;Secundario;Pública;18 - Secundario Orientado;CAPITAL;CIUDAD;10%;Urbano;-
1138;4150;DR. MARIO PÉREZ ELIZALDE;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;LAS TORTUGAS;60%;Urbano marginal;-
1139;4151;DR. BENITO MARÍANETTI;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;MAYOR DRUMMOND;60%;Urbano marginal;-
1140;4152;DR. ABEL ALBINO;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;PUENTE DE HIERRO;80%;Rural marginal;-
1141;4153;PROFESOR LUIS QUESADA;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;BERMEJO;80%;Urbano marginal;-
1142;4154;DR. SALVADOR MAZZA;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;DORREGO;10%;Urbano;-
1143;4155;ERNESTO PEREZ CUESTA;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;CAPILLA DEL ROSARIO;10%;Urbano;-
1144;4156;MIGUEL LAURIENTE;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;RODEO DE LA CRUZ;60%;Urbano marginal;-
1145;4157;PATRIA GRANDE;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;EL PLUMERILLO;60%;Urbano;-
1146;4158;ARRIEROS DEL ANDE;Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;LAS HERAS;EL PLUMERILLO;60%;Urbano marginal;-
1147;4159;CÉSAR MILSTEIN;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAVALLE;EL VERGEL;110%;Rural;-
1148;4160;TITO FRANCIA;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAVALLE;LAVALLE;110%;Rural;-
1149;4161;JOSE MIGUEL GRANEROS;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAVALLE;GUSTAVO ANDRE;110%;Rural;-
1150;4162;MAESTRO ALFREDO BRAVO;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;SAN FRANCISCO DEL MONTE;10%;Urbano;-
1151;4163;PROFESORES MENDOCINOS;Secundario Orientado;Secundario;Pública;05 - Secundario Orientado;LUJÁN DE CUYO;CARRODILLA;80%;Urbano marginal;-
1152;4164;CERRO EL PLATA;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;PERDRIEL;60%;Rural marginal;-
1153;4165;PABLO NERUDA;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;VISTALBA;60%;Rural;-
1154;4166;FERNANDO LORENZO;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;MAIPÚ;GENERAL GUTIÉRREZ;60%;Urbano;-
1155;4167;SANTIAGO FELIPE LLAVER;Secundario Orientado;Secundario;Pública;09 - Secundario Orientado;SAN MARTÍN;SAN MARTÍN;80%;Urbano marginal;-
1156;4168;PROFESORA MARÍA EUGENIA TROSSERO;Secundario Orientado;Secundario;Pública;09 - Secundario Orientado;JUNIN;LA COLONIA;80%;Urbano;-
1157;4169;DR. BERNARDO SAMUEL LEIVA;Secundario Orientado;Secundario;Pública;12 - Secundario Orientado;SAN RAFAEL;SAN RAFAEL - CIUDAD;80%;Urbano marginal;-
1158;4170;AGUAS DEL DIAMANTE;Secundario Orientado;Secundario;Pública;13 - Secundario Orientado;SAN RAFAEL;CUADRO NACIONAL;80%;Urbano marginal;-
1159;4171;PRECEPTORA HILDA MABEL CORIA;Secundario Técnico;Secundario;Pública;04 - Secundario Técnico;GRAL. ALVEAR;CARMENSA;80%;Rural;-
1160;4172;PUERTO ARGENTINO;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;AGRELO;80%;Rural;-
1161;4173;PROFESORA AMANDA FERNANDEZ DE PALERMO;Secundario Orientado;Secundario;Pública;11 - Secundario Orientado;TUNUYÁN;TUNUYÁN;40%;Urbano;-
1162;4174;JOAQUÍN SALVADOR LAVADO;Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;CAPITAL;CIUDAD;80%;Urbano marginal;-
1163;4175;DR. EDUARDO JORGE CHAHLA;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;GUAYMALLÉN;BERMEJO;80%;Urbano marginal;-
1164;4176;VALLES DE POTRERILLOS;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;POTRERILLOS;110%;Rural;-
1165;4177;HUARPES DE LAS BARRANCAS;Secundario Orientado;Secundario;Pública;05 - Secundario Orientado;MAIPÚ;LAS BARRANCAS;110%;Rural;-
1166;4178;VICTORIA OCAMPO;Secundario Orientado;Secundario;Pública;04 - Secundario Orientado;GODOY CRUZ;VILLA HIPODROMO;80%;Urbano marginal;-
1167;4179;EL CEIBO;Secundario Orientado;Secundario;Pública;14 - Secundario Orientado;GRAL. ALVEAR;EL CEIBO;80%;Rural;-
1168;4180;INMIGRANTES ITALIANOS;Secundario Orientado;Secundario;Pública;02 - Secundario Orientado;GUAYMALLÉN;JESÚS NAZARENO;80%;Rural;-
1169;4181;GUILLERMO OLEGARÍO MORAN;Secundario Orientado;Secundario;Pública;09 - Secundario Orientado;JUNIN;PHILIPS;80%;Rural;-
1170;4182;AIDA FONT (8182);Secundario Técnico;Secundario;Pública;03 - Secundario Técnico;LA PAZ;DESAGUADERO;110%;Rural;-
1171;4183;FIDEL DE LUCIA;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAVALLE;JOCOLÍ VIEJO;80%;Rural;-
1172;4184;CARLOS ALBERTO MASOERO;Secundario Orientado;Secundario;Pública;08 - Secundario Orientado;LAVALLE;LA PEGA;80%;Rural;-
1173;4185;ELENA ELVIRA IMAZIO DE CAVAGNOLA;Secundario Técnico;Secundario;Pública;06 - Secundario Técnico;LAVALLE;TRES DE MAYO;80%;Rural;-
1174;4186;OSCAR BRACELIS;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;EL CARRIZAL;110%;Rural;-
1175;4187;LUJÁN DE LAS VIÑAS;Secundario Orientado;Secundario;Pública;06 - Secundario Orientado;LUJÁN DE CUYO;UGARTECHE;110%;Rural;-
1176;4188;PADRE SERGIO IACONO;Secundario Técnico;Secundario;Pública;01 - Secundario Técnico;MAIPÚ;FRAY LUIS BELTRÁN;80%;Rural;-
1177;4189;ÁLAMOS MENDOCINOS;Secundario Orientado;Secundario;Pública;05 - Secundario Orientado;MAIPÚ;FRAY LUIS BELTRÁN;110%;Rural;-
1178;4190;DR. JAMES WATSON CRONIN;Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;MALARGÜE;MALARGÜE;80%;Urbano;-
1179;4191;DR. DANIEL HUGO PIERINI (ESC. 8191);Secundario Técnico;Secundario;Pública;04 - Secundario Técnico;MALARGÜE;LAS JUNTAS;110%;Rural;-
1180;4192;PROF. ALICIA MABEL SAFFI;Secundario Orientado;Secundario;Pública;10 - Secundario Orientado;RIVADAVIA;CAMPAMENTOS;80%;Rural;-
1181;4193;MARÍA LUISA PÁSCOLO DE BANDIERA;Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;SAN CARLOS;CAPIZ ALTO;110%;Rural;-
1182;4194;FABIAN CATROPPA MARTÍN;Secundario Orientado;Secundario;Pública;09 - Secundario Orientado;SAN MARTÍN;NUEVA CALIFORNIA;110%;Rural;-
1183;4195;EL MOLINO;Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;SAN RAFAEL;SAN RAFAEL;80%;Urbano marginal;-
1184;4196;JUAN MIGUEL ESCUDERO;Secundario Orientado;Secundario;Pública;14 - Secundario Orientado;SAN RAFAEL;JAIME PRATS;80%;Rural;-
1185;4197;ING. AGR. JULIO C. GATICA;Secundario Técnico;Secundario;Pública;04 - Secundario Técnico;SAN RAFAEL;VILLA ATUEL;110%;Rural marginal;-
1186;4198;FRANCISCO GARCÍA;Secundario Técnico;Secundario;Pública;04 - Secundario Técnico;SAN RAFAEL;LAS MALVINAS;110%;Rural marginal;-
1187;4199;MARÍA LUISA DEGNI;Secundario Orientado;Secundario;Pública;17 - Secundario Orientado;SANTA ROSA;LA DORMIDA;80%;Rural;-
1188;4200;ALBERTO D. ERASO - Ranquil (8200);Secundario Orientado;Secundario;Pública;12 - Secundario Orientado;MALARGÜE;RANQUIL;110%;Rural frontera;-
1189;4201;MAESTRO PAULO FREIRE;Secundario Orientado;Secundario;Pública;03 - Secundario Orientado;GUAYMALLÉN;EL SAUCE;80%;Rural;-
