Nivel;Nivel_Unificado;Gestión;Supervisión;Escuela_ID;CUE;subcue;Número;Anexo;Número_Anexo;Escuela;Departamento;Localidad;zona;AMBITO;Regional
Secundario Orientado;Secundario;Pública;11 - Secundario Orientado;1067;5000985;0;4079;0;4079-0;DOMINGO F. SARMIENTO;TUPUNGATO;TUPUNGATO;80%;Urbano;-
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1080;5000032;0;4092;0;4092-0;GRAL. LAS HERAS;CAPITAL;4º SECCION;10%;Urbano;-
Secundario Orientado;Secundario;Pública;10 - Secundario Orientado;1084;5001125;0;4096;0;4096-0;PROFESOR MARIO ANSELMO SÁNCHEZ;RIVADAVIA;MEDRANO;80%;Rural;-
Secundario Orientado;Secundario;Pública;16 - Secundario Orientado;1090;5001216;0;4102;0;4102-0;ANTONIO BUTTINI;SAN RAFAEL;CUADRO BENEGAS;80%;Rural;-
Secundario Orientado;Secundario;Pública;07 - Secundario Orientado;1128;5000177;0;4140;0;4140-0;ARMANDO TEJADA GÓMEZ;LAS HERAS;EL RESGUARDO;80%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;14 - Secundario Orientado;1132;5001384;0;4144;0;4144-0;12 DE AGOSTO;GRAL. ALVEAR;GENERAL ALVEAR;60%;Urbano;-
Secundario Orientado;Secundario;Pública;09 - Secundario Orientado;1155;5001748;0;4167;0;4167-0;SANTIAGO FELIPE LLAVER;SAN MARTÍN;SAN MARTÍN;80%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;13 - Secundario Orientado;1158;5001756;0;4170;0;4170-0;AGUAS DEL DIAMANTE;SAN RAFAEL;CUADRO NACIONAL;80%;Urbano marginal;-
Secundario Orientado;Secundario;Pública;01 - Secundario Orientado;1162;5001811;0;4174;0;4174-0;JOAQUÍN SALVADOR LAVADO;CAPITAL;CIUDAD;80%;Urbano marginal;-
Secundario Técnico;Secundario;Pública;02 - Secundario Técnico;1181;5001864;0;4193;0;4193-0;MARÍA LUISA PÁSCOLO DE BANDIERA;SAN CARLOS;CAPIZ ALTO;110%;Rural;-
