Escuela_ID;Curso ;División;matricula_por_escuela_curso_y_division
57;2°;B;18
57;3°;A;13
57;3°;B;12
57;4°;A;20
57;4°;B;21
57;5°;A;21
57;5°;B;22
57;6°;A;17
57;6°;B;16
57;7°;A;21
57;7°;B;21
58;2°;A;26
58;2°;B;29
58;3°;A;26
58;3°;B;25
58;4°;A;23
58;4°;B;30
58;5°;A;32
58;5°;B;31
58;6°;A;30
58;6°;B;28
58;7°;A;31
58;7°;B;25
59;2°;A;14
59;2°;B;12
59;3°;A;15
59;3°;B;15
59;4°;A;17
59;4°;B.;16
59;5°;A;16
59;5°;B;15
59;6°;A;19
59;6°;B.;19
59;7°;A;23
60;2°;A;27
60;3°;A;22
60;4°;A;15
60;4°;B;13
60;5°;A;20
60;5°;B;19
60;6°;A;24
60;6°;B;23
60;7°;A;28
61;1°;1°,2° y 3°;3
61;2°;1°,2° y 3°;2
61;3°;1°,2° y 3°;9
61;4°;4° y 5°;5
61;5°;4° y 5°;9
61;6°;6° y 7°;2
61;7°;6° y 7°;9
62;2°;A;20
62;2°;B;11
62;3°;A;14
62;3°;B;11
62;4°;A;19
62;4°;B;16
62;5°;A;25
62;5°;B;21
62;6°;A;24
62;6°;B;22
62;7°;A;23
62;7°;B;22
63;2°;A;23
63;2°;B;18
63;2°;C;17
63;3°;A;26
63;3°;B;26
63;3°;C;19
63;4°;A;28
63;4°;B;19
63;4°;C;19
63;5°;A;29
63;5°;B;26
63;6°;A;30
63;6°;B;25
63;6°;C;28
63;7°;A;30
63;7°;B;30
63;7°;C;27
64;2°;1º;10
64;3°;1º;12
64;4°;1º;15
64;5°;1º;13
64;6°;1º;16
64;7°;1º;15
65;2°;A;28
65;2°;B;24
65;2°;C;24
65;3°;A;26
65;3°;B;28
65;3°;C;26
65;4°;A;33
65;4°;B.;30
65;4°;C;30
65;5°;A;23
65;5°;B;24
65;5°;C;23
65;5°;D;24
65;6°;A;27
65;6°;B;26
65;6°;C;27
65;7°;A;24
65;7°;B;27
65;7°;C;25
66;2°;A;27
66;2°;B;25
66;3°;A;30
66;3°;B;29
66;4°;A;31
66;4°;B;25
66;5°;A;30
66;5°;B;28
66;6°;A;31
66;6°;B;26
66;7°;A;30
66;7°;B;29
67;2°;2º ,3º;9
67;3°;2º ,3º;9
67;4°;1º;12
67;5°;1º;15
67;6°;1º;12
67;7°;1º;17
68;2°;U AJ;12
68;3°;U AJ;18
68;4°;U AJ;22
68;5°;U AJ;22
68;6°;U AJ;17
68;7°;U AJ;20
69;2°;A;20
69;2°;B;20
69;3°;A;22
69;3°;B;22
69;4°;A;22
69;4°;B;17
69;5°;A;20
69;5°;B;18
69;5°;C;17
69;6°;A;20
69;6°;B;19
69;6°;C;16
69;7°;A;20
69;7°;B;18
70;2°;A;20
70;3°;A;18
70;3°;B;20
70;4°;A;17
70;4°;B;14
70;5°;A;30
70;6°;A;26
70;7°;A;28
71;2°;A;23
71;2°;B;20
71;2°;C;18
71;3°;A;29
71;3°;B;21
71;3°;C;20
71;4°;A;22
71;4°;B;24
71;4°;C;24
71;5°;A;28
71;5°;B;25
71;5°;C;25
71;6°;A;25
71;6°;B;24
71;6°;C;27
71;7°;A;25
71;7°;B;25
71;7°;C;27
72;2°;A;19
72;2°;B;20
72;3°;A;23
72;3°;B;24
72;4°;A;23
72;4°;B;20
72;5°;A;21
72;5°;B;24
72;6°;A;23
72;6°;B;26
72;7°;A;23
72;7°;B;23
73;2°;1º;28
