Supervisión;Curso ;matricula_por_supervisión_y_curso
23 - Primario;7°;654
24 - Primario;1°;32
24 - Primario;2°;260
24 - Primario;3°;286
24 - Primario;4°;325
24 - Primario;5°;328
24 - Primario;6°;305
24 - Primario;7°;297
25 - Primario;1°;24
25 - Primario;2°;89
25 - Primario;3°;96
25 - Primario;4°;85
25 - Primario;5°;87
25 - Primario;6°;94
25 - Primario;7°;100
26 - Primario;1°;12
26 - Primario;2°;428
26 - Primario;3°;487
26 - Primario;4°;451
26 - Primario;5°;518
26 - Primario;6°;499
26 - Primario;7°;410
27 - Primario;1°;13
27 - Primario;2°;424
27 - Primario;3°;453
27 - Primario;4°;456
27 - Primario;5°;513
27 - Primario;6°;445
27 - Primario;7°;423
28 - Primario;1°;10
28 - Primario;2°;201
28 - Primario;3°;198
28 - Primario;4°;225
28 - Primario;5°;229
28 - Primario;6°;215
28 - Primario;7°;187
29 - Primario;2°;486
29 - Primario;3°;488
29 - Primario;4°;552
29 - Primario;5°;564
29 - Primario;6°;558
29 - Primario;7°;561
30 - Primario;2°;329
30 - Primario;3°;350
30 - Primario;4°;329
30 - Primario;5°;326
30 - Primario;6°;343
30 - Primario;7°;344
31 - Primario;1°;14
31 - Primario;2°;211
31 - Primario;3°;220
31 - Primario;4°;198
31 - Primario;5°;217
31 - Primario;6°;229
31 - Primario;7°;229
32 - Primario;1°;24
32 - Primario;2°;305
32 - Primario;3°;261
32 - Primario;4°;291
32 - Primario;5°;312
32 - Primario;6°;271
32 - Primario;7°;237
33 - Primario;1°;21
33 - Primario;2°;141
33 - Primario;3°;121
33 - Primario;4°;149
33 - Primario;5°;139
33 - Primario;6°;138
33 - Primario;7°;136
34 - Primario;1°;20
34 - Primario;2°;105
34 - Primario;3°;107
34 - Primario;4°;111
34 - Primario;5°;112
34 - Primario;6°;135
34 - Primario;7°;103
35 - Primario;2°;368
35 - Primario;3°;325
35 - Primario;4°;409
35 - Primario;5°;425
35 - Primario;6°;364
35 - Primario;7°;363
36 - Primario;1°;25
36 - Primario;2°;144
36 - Primario;3°;140
36 - Primario;4°;133
36 - Primario;5°;143
36 - Primario;6°;162
36 - Primario;7°;183
37 - Primario;1°;8
37 - Primario;2°;464
37 - Primario;3°;494
37 - Primario;4°;479
37 - Primario;5°;495
37 - Primario;6°;494
37 - Primario;7°;468
38 - Primario;2°;675
38 - Primario;3°;626
38 - Primario;4°;688
38 - Primario;5°;702
38 - Primario;6°;656
38 - Primario;7°;621
39 - Primario;1°;15
39 - Primario;2°;682
39 - Primario;3°;661
39 - Primario;4°;711
39 - Primario;5°;745
39 - Primario;6°;717
39 - Primario;7°;671
40 - Primario;1°;15
40 - Primario;2°;182
40 - Primario;3°;189
40 - Primario;4°;218
40 - Primario;5°;213
40 - Primario;6°;184
40 - Primario;7°;192
41 - Primario;1°;37
41 - Primario;2°;255
41 - Primario;3°;278
41 - Primario;4°;259
41 - Primario;5°;286
41 - Primario;6°;268
41 - Primario;7°;283
42 - Primario;1°;13
42 - Primario;2°;157
42 - Primario;3°;152
42 - Primario;4°;154
42 - Primario;5°;178
42 - Primario;6°;171
42 - Primario;7°;186
43 - Primario;1°;38
43 - Primario;2°;74
43 - Primario;3°;70
43 - Primario;4°;64
43 - Primario;5°;78
43 - Primario;6°;85
43 - Primario;7°;86
44 - Primario;1°;29
44 - Primario;2°;228
44 - Primario;3°;209
44 - Primario;4°;252
44 - Primario;5°;255
44 - Primario;6°;255
44 - Primario;7°;219
45 - Primario;2°;605
45 - Primario;3°;689
45 - Primario;4°;705
45 - Primario;5°;745
45 - Primario;6°;691
45 - Primario;7°;696
46 - Primario;2°;687
46 - Primario;3°;705
46 - Primario;4°;764
46 - Primario;5°;757
46 - Primario;6°;731
46 - Primario;7°;702
47 - Primario;1°;7
47 - Primario;2°;418
47 - Primario;3°;514
47 - Primario;4°;532
47 - Primario;5°;633
47 - Primario;6°;483
47 - Primario;7°;528
48 - Primario;1°;1
48 - Primario;2°;213
48 - Primario;3°;187
48 - Primario;4°;192
48 - Primario;5°;207
48 - Primario;6°;178
48 - Primario;7°;191
49 - Primario;1°;16
49 - Primario;2°;157
49 - Primario;3°;165
49 - Primario;4°;162
49 - Primario;5°;160
49 - Primario;6°;174
49 - Primario;7°;164
50 - Primario;1°;14
50 - Primario;2°;435
50 - Primario;3°;454
50 - Primario;4°;460
50 - Primario;5°;465
50 - Primario;6°;436
50 - Primario;7°;454
51 - Primario;1°;20
51 - Primario;2°;62
51 - Primario;3°;40
51 - Primario;4°;50
51 - Primario;5°;63
51 - Primario;6°;54
51 - Primario;7°;65
52 - Primario;2°;270
52 - Primario;3°;236
52 - Primario;4°;260
52 - Primario;5°;284
52 - Primario;6°;241
52 - Primario;7°;263
53 - Primario;2°;689
53 - Primario;3°;760
53 - Primario;4°;798
53 - Primario;5°;909
53 - Primario;6°;735
53 - Primario;7°;737
54 - Primario;2°;485
54 - Primario;3°;503
54 - Primario;4°;572
54 - Primario;5°;568
54 - Primario;6°;533
54 - Primario;7°;527
55 - Primario;2°;390
55 - Primario;3°;424
55 - Primario;4°;404
55 - Primario;5°;468
55 - Primario;6°;423
55 - Primario;7°;431
56 - Primario;1°;12
56 - Primario;2°;311
56 - Primario;3°;297
56 - Primario;4°;341
56 - Primario;5°;355
56 - Primario;6°;325
56 - Primario;7°;338
57 - Primario;2°;438
57 - Primario;3°;402
57 - Primario;4°;504
57 - Primario;5°;489
57 - Primario;6°;463
57 - Primario;7°;464
58 - Primario;2°;743
58 - Primario;3°;715
58 - Primario;4°;786
58 - Primario;5°;788
58 - Primario;6°;690
58 - Primario;7°;707
